Zeit;Kanal A
(ms);(mV)

-23,17999910;-3,19758844
-23,17499910;-3,19758844
-23,16999910;-2,63348913
-23,16499910;-3,19758844
-23,15999910;-1,88053632
-23,15499910;-1,12819874
-23,14999910;-1,31643701
-23,14499910;-0,56409937
-23,13999910;-0,37586120
-23,13499910;-0,75233757
-23,12999910;-1,12819874
-23,12499910;-0,37586120
-23,11999910;-0,93996060
-23,11499910;-1,88053632
-23,10999910;-2,25701261
-23,10499910;-3,00935030
-23,09999910;-3,76168776
-23,09499910;-4,32640219
-23,08999910;-4,89050150
-23,08499910;-4,89050150
-23,07999910;-5,64283943
-23,07499910;-5,45460081
-23,06999910;-5,64283943
-23,06499910;-5,45460081
-23,05999910;-5,07874012
-23,05499910;-4,32640219
-23,04999910;-4,51402521
-23,04499910;-3,57344961
-23,03999910;-3,76168776
-23,03499910;-2,25701261
-23,02999910;-2,06877446
-23,02499910;-1,69291329
-23,01999910;-2,06877446
-23,01499910;-2,25701261
-23,00999910;-3,00935030
-23,00499910;-2,63348913
-22,99999910;-3,00935030
-22,99499910;-3,19758844
-22,98999910;-3,00935030
-22,98499910;-3,94992590
-22,97999910;-4,32640219
-22,97499910;-4,89050150
-22,96999910;-5,83107758
-22,96499910;-4,89050150
-22,95999910;-5,45460081
-22,95499910;-4,89050150
-22,94999910;-5,45460081
-22,94499910;-4,13816404
-22,93999910;-4,32640219
-22,93499910;-3,00935030
-22,92999910;-3,00935030
-22,92499910;-2,06877446
-22,91999910;-2,06877446
-22,91499910;-1,69291329
-22,90999910;-1,31643701
-22,90499910;-1,12819874
-22,89999910;-0,75233757
-22,89499911;-0,93996060
-22,88999911;-1,12819874
-22,88499911;-1,69291329
-22,87999911;-2,06877446
-22,87499911;-2,44525075
-22,86999911;-2,82111216
-22,86499911;-2,82111216
-22,85999911;-3,19758844
-22,85499911;-3,00935030
-22,84999911;-3,57344961
-22,84499911;-2,63348913
-22,83999911;-3,19758844
-22,83499911;-2,25701261
-22,82999911;-3,00935030
-22,82499911;-1,50467515
-22,81999911;-1,12819874
-22,81499911;-1,31643701
-22,80999911;0,18762302
-22,80499911;0,00000000
-22,79999911;0,18762302
-22,79499911;-0,37586120
-22,78999911;-0,93996060
-22,78499911;-1,31643701
-22,77999911;-0,75233757
-22,77499911;-0,37586120
-22,76999911;-1,50467515
-22,76499911;-1,69291329
-22,75999911;-2,06877446
-22,75499911;-2,25701261
-22,74999911;-3,00935030
-22,74499911;-2,82111216
-22,73999911;-3,00935030
-22,73499911;-3,38582659
-22,72999911;-3,38582659
-22,72499911;-3,57344961
-22,71999911;-3,00935030
-22,71499911;-3,00935030
-22,70999911;-2,25701261
-22,70499911;-2,06877446
-22,69999911;-1,88053632
-22,69499911;-1,88053632
-22,68999911;-0,75233757
-22,68499911;-1,50467515
-22,67999911;-0,56409937
-22,67499911;-0,93996060
-22,66999911;-0,93996060
-22,66499911;-0,75233757
-22,65999911;-0,75233757
-22,65499911;-0,75233757
-22,64999911;-1,12819874
-22,64499911;-0,93996060
-22,63999911;-1,31643701
-22,63499911;-1,69291329
-22,62999911;-2,06877446
-22,62499911;-0,93996060
-22,61999911;-1,69291329
-22,61499911;-0,75233757
-22,60999911;-1,12819874
-22,60499911;-0,75233757
-22,59999911;-1,12819874
-22,59499911;0,37586120
-22,58999911;0,93996060
-22,58499911;1,12819874
-22,57999911;1,12819874
-22,57499911;1,50467515
-22,56999911;1,69291329
-22,56499911;2,25701261
-22,55999911;2,06877446
-22,55499911;2,44525075
-22,54999911;2,06877446
-22,54499911;2,44525075
-22,53999911;2,25701261
-22,53499911;3,00935030
-22,52999911;2,82111216
-22,52499911;3,38582659
-22,51999911;2,82111216
-22,51499911;2,82111216
-22,50999911;2,63348913
-22,50499911;2,82111216
-22,49999912;2,82111216
-22,49499912;2,82111216
-22,48999912;2,82111216
-22,48499912;2,82111216
-22,47999912;2,82111216
-22,47499912;3,38582659
-22,46999912;3,19758844
-22,46499912;2,82111216
-22,45999912;3,00935030
-22,45499912;3,94992590
-22,44999912;3,00935030
-22,44499912;3,57344961
-22,43999912;3,94992590
-22,43499912;4,32640219
-22,42999912;4,13816404
-22,42499912;4,51402521
-22,41999912;4,32640219
-22,41499912;4,70226383
-22,40999912;4,51402521
-22,40499912;3,57344961
-22,39999912;5,64283943
-22,39499912;5,45460081
-22,38999912;5,45460081
-22,38499912;6,20755386
-22,37999912;5,83107758
-22,37499912;4,89050150
-22,36999912;5,07874012
-22,36499912;5,07874012
-22,35999912;4,70226383
-22,35499912;4,70226383
-22,34999912;4,13816404
-22,34499912;3,94992590
-22,33999912;4,32640219
-22,33499912;4,32640219
-22,32999912;3,76168776
-22,32499912;3,57344961
-22,31999912;3,38582659
-22,31499912;3,76168776
-22,30999912;3,76168776
